Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate
公郷保育園,公郷保育園,,,,,,認可保育所,公郷町6-7-1,,35.26002701,139.6747131,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000208.html,046-852-1113,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後6：00【事業内容】延長保育（平日午後6：00以降の保育）障害児保育（集団保育が可能な心身に障害を有するお子さんの保育）,,,,,,
おひさま園【認可外保育施設】,おひさま園【認可外保育施設】,,,,,,認可外,秋谷1-7-28,,35.23376084,139.6031942,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/ninnkagaihoikusisetu/ohisamaen.html,046-897-5573,046-897-5573,,,,,,,,,,,,,
和順保育園,和順保育園,,,,,,認可保育所,久里浜2-19-14,,35.23111997,139.697241,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000206.html,046-835-6556,,,,,,,,"【利用方法(申込方法)】保育園の入所案内からご覧ください

【保育時間】

平日 午前7時00分～午後7時00分

土曜日 午前7時00分～午後4時00分

【事業内容】

延長保育（午前7時00分～午前7時30分、午後6時30分～午後7時00分）

",,,,,,
鴨居保育園,鴨居保育園,,,,,,認可保育所,鴨居3-1-6,,35.25020754,139.7332185,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000064.html,046-841-2708,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）障害児保,,,,,,
善隣園保育センター,善隣園保育センター,,,,,,認可保育所,田浦町2-80-1,,35.2920743,139.6337372,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000219.html,046-861-9777,,,,,,,,"【利用方法(申し込み方法)】

保育園の入所案内からご覧ください。

【保育時間】

平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後5時00分

【事業内容】

延長保育（平日午後6時00分以降の保育）

障害児保育（集団保育が可能な心身に障害を有するお子さんの・",,,,,,
ぎんのすず保育園,ぎんのすず保育園,,,,,,認可保育所,追浜町2-71,,35.31135814,139.6246437,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc100000987.html,046-867-3020,,,,,,,,,,,,,,
森崎保育園,森崎保育園,,,,,,認可保育所,森崎3-8-1,,35.24653849,139.6779327,http://www.city.yokosuka.kanagawa.jp/3450/sisetu/fc00000066.html,046-836-6871,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日午前７：００～午後７：００ 土曜日　午前７：３０～午後４：００【事業内容】延長保育（平日午前７：００～７：３０、午後６：００～７：００）（ただし、午後６：００～６：３０は無料）障害児・,,,,,,
池上愛育園,池上愛育園,,,,,,認可保育所,池上7-6-6,,35.2672064,139.6436859,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000196.html,046-851-1744,,,,,,,,【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　午前7：00～午後7：00土曜日　午前7：00～午後4：00【事業内容】延長保育（平日午後6：00以降の保育）,,,,,,
浦賀保育園,浦賀保育園,,,,,,認可保育所,浦賀6-3-1,,35.24616814,139.7143297,http://www.city.yokosuka.kanagawa.jp/3480/sisetu/fc00000199.html,046-841-0677,,,,,,,,"【利用方法(申込方法)】保育園の入所案内からご覧ください。【保育時間】平日　 午前7時00分～午後7時00分

土曜日 午前7時00分～午後4時00分

【事業内容】延長保育（平日午後6：00以降の保育）障害児保育（集団保育が可能な心身に障害を有するお子さんの保育",,,,,,
葉山インターナショナルスクール【認可外保育施設】,葉山インターナショナルスクール【認可外保育施設】,,,,,,認可外,秋谷4427－１,,35.24799707,139.5932581,http://www.hayama-international.co.jp/,046-855-5112,046-855-5113,,,,,,,,,,,,,
